InvoiceNo,StockCode,Country,Local_Currency,CustomerID,InvoiceDate,UnitPrice,Total_Quantity_Sold,Month,DayOfWeek,Competitor_Price
539993,21498,MEXICO,MXN,13313,2011-01-04 10:00:00,10.5,25,1,1,10.076247820086117
539993,22386,MEXICO,MXN,13313,2011-01-04 10:00:00,48.75,10,1,1,44.30024384681564
539993,22961,MEXICO,MXN,13313,2011-01-04 10:00:00,36.25,12,1,1,38.104918513222465
539993,85099B,MEXICO,MXN,13313,2011-01-04 10:00:00,48.75,10,1,1,50.76811122644035
539993,85123A,MEXICO,MXN,13313,2011-01-04 10:00:00,73.75,12,1,1,69.3181046083752
540002,21790,MEXICO,MXN,16656,2011-01-04 10:23:00,18.0,144,1,1,17.529123269968874
540003,22961,MEXICO,MXN,16875,2011-01-04 10:37:00,36.25,12,1,1,33.91827958174649
540003,84978,MEXICO,MXN,16875,2011-01-04 10:37:00,31.25,12,1,1,32.83757015662847
540004,84946,MEXICO,MXN,13094,2011-01-04 10:37:00,26.5,72,1,1,27.160390236193553
540005,22178,MEXICO,MXN,17315,2011-01-04 10:38:00,31.25,15,1,1,32.50054614622404
540013,21080,MEXICO,MXN,16255,2011-01-04 11:30:00,21.25,5,1,1,22.68732789450812
540013,22197,MEXICO,MXN,16255,2011-01-04 11:30:00,21.25,19,1,1,21.290375393449164
540013,22961,MEXICO,MXN,16255,2011-01-04 11:30:00,36.25,6,1,1,34.84404283065341
540013,84991,MEXICO,MXN,16255,2011-01-04 11:30:00,13.750000000000002,4,1,1,13.428613928182163
540014,22423,MEXICO,MXN,14606,2011-01-04 11:34:00,318.75,1,1,1,330.39753434461994
540014,85123A,MEXICO,MXN,14606,2011-01-04 11:34:00,73.75,6,1,1,71.20875669196504
540015,20725,MEXICO,MXN,13319,2011-01-04 11:40:00,41.25,10,1,1,38.49706865213803
540015,21212,MEXICO,MXN,13319,2011-01-04 11:40:00,13.750000000000002,24,1,1,14.244027206865947
540015,22178,MEXICO,MXN,13319,2011-01-04 11:40:00,31.25,12,1,1,33.085250129983834
540015,22961,MEXICO,MXN,13319,2011-01-04 11:40:00,36.25,12,1,1,33.78492452800628
540015,84879,MEXICO,MXN,13319,2011-01-04 11:40:00,42.25,16,1,1,42.56663494806967
540016,21080,MEXICO,MXN,16282,2011-01-04 11:42:00,21.25,8,1,1,21.470066967892322
540016,85123A,MEXICO,MXN,16282,2011-01-04 11:42:00,73.75,10,1,1,65.53137925011784
540020,22469,MEXICO,MXN,14462,2011-01-04 12:45:00,41.25,24,1,1,45.119681372092614
540021,22411,MEXICO,MXN,17841,2011-01-04 12:51:00,48.75,1,1,1,47.04048984709877
540021,85099B,MEXICO,MXN,17841,2011-01-04 12:51:00,48.75,4,1,1,48.99811585077449
540022,22423,MEXICO,MXN,17188,2011-01-04 12:57:00,273.75,16,1,1,291.17880033691216
540022,22469,MEXICO,MXN,17188,2011-01-04 12:57:00,41.25,24,1,1,45.22510433780822
540023,21213,MEXICO,MXN,15039,2011-01-04 12:58:00,13.750000000000002,2,1,1,13.895171687035738
540023,21977,MEXICO,MXN,15039,2011-01-04 12:58:00,13.750000000000002,2,1,1,13.994299617497123
540023,22382,MEXICO,MXN,15039,2011-01-04 12:58:00,41.25,2,1,1,42.15391979318015
540023,22386,MEXICO,MXN,15039,2011-01-04 12:58:00,48.75,20,1,1,45.15888580022753
540023,22411,MEXICO,MXN,15039,2011-01-04 12:58:00,48.75,20,1,1,48.646288682925004
540023,22423,MEXICO,MXN,15039,2011-01-04 12:58:00,318.75,3,1,1,306.82826603045976
540023,47566,MEXICO,MXN,15039,2011-01-04 12:58:00,93.75,60,1,1,87.7422178039633
540023,85099F,MEXICO,MXN,15039,2011-01-04 12:58:00,48.75,10,1,1,50.63863956887532
540027,21181,MEXICO,MXN,14210,2011-01-04 13:30:00,52.5,12,1,1,51.21864290808316
540027,47566,MEXICO,MXN,14210,2011-01-04 13:30:00,116.25000000000001,5,1,1,116.49107273706606
540031,21181,MEXICO,MXN,17975,2011-01-04 13:50:00,52.5,3,1,1,51.589739289966055
540031,22469,MEXICO,MXN,17975,2011-01-04 13:50:00,41.25,6,1,1,43.632940787149955
540031,84879,MEXICO,MXN,17975,2011-01-04 13:50:00,42.25,8,1,1,43.54779950028015
540033,21181,MEXICO,MXN,13680,2011-01-04 14:12:00,46.25,48,1,1,48.94829364718553
540033,21498,MEXICO,MXN,13680,2011-01-04 14:12:00,10.5,25,1,1,9.240661168203639
540033,85123A,MEXICO,MXN,13680,2011-01-04 14:12:00,63.74999999999999,32,1,1,57.247149335516085
540040,20724,Otro_LATAM,USD,12483,2011-01-04 14:20:00,0.85,20,1,1,0.8504082650511534
